# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
2.900000000000000355e+00,1.467124361620690154e+00,1.188448955912632332e+00,-2.148009803779619808e+00,0.000000000000000000e+00,-3.623127240770700919e+00,1.248089125197476168e+00,2.371098639872268876e+00,0.000000000000000000e+00,-1.362321456927908292e+00,5.038543146297658204e-01,6.620984469687731799e-01,0.000000000000000000e+00
2.950000000000000178e+00,1.284840819993749550e+00,1.251468725270891369e+00,-2.028987432439740335e+00,0.000000000000000000e+00,-3.656598743000709639e+00,1.272407843092035584e+00,2.382532289802683945e+00,0.000000000000000000e+00,3.104716162592491280e-02,4.685996660058629470e-01,-2.092554185702470981e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.102641118758763916e+00,1.315659638554726119e+00,-1.910491815012471006e+00,0.000000000000000000e+00,-3.619525185609261175e+00,1.294920674625182233e+00,2.349884148563065711e+00,0.000000000000000000e+00,1.454200945968572745e+00,4.316402248750650927e-01,-1.097912688315712870e+00,0.000000000000000000e+00
3.050000000000000266e+00,9.240763939709669694e-01,1.380929324594548202e+00,-1.794740428893239148e+00,0.000000000000000000e+00,-3.511220937731064584e+00,1.315545642904684120e+00,2.272785183812231935e+00,0.000000000000000000e+00,2.874791480401620802e+00,3.931076417893267783e-01,-1.983904620534381547e+00,0.000000000000000000e+00
3.100000000000000089e+00,7.526912124249387492e-01,1.447181480731452918e+00,-1.683943991253744166e+00,0.000000000000000000e+00,-3.332640833022777027e+00,1.334207519867470992e+00,2.151878704055965486e+00,0.000000000000000000e+00,4.259699248616538370e+00,3.531401210567399751e-01,-2.846798885865728046e+00,0.000000000000000000e+00
3.150000000000000355e+00,5.919409652515736919e-01,1.514316218203111131e+00,-1.580255496409128213e+00,0.000000000000000000e+00,-3.086395809574565607e+00,1.350838139062486620e+00,1.988829459760723672e+00,0.000000000000000000e+00,5.575955593479242189e+00,3.118818214285746238e-01,-3.666265961322137557e+00,0.000000000000000000e+00
3.200000000000000178e+00,4.451096421862618668e-01,1.582230422412082227e+00,-1.485719512335934356e+00,0.000000000000000000e+00,-2.776721902572419687e+00,1.365376678017079293e+00,1.786304091029144780e+00,0.000000000000000000e+00,6.791681524785777135e+00,2.694822390823218283e-01,-4.422655732683900887e+00,0.000000000000000000e+00
3.250000000000000000e+00,3.152303270241836319e-01,1.650818126534415509e+00,-1.402223173859082239e+00,0.000000000000000000e+00,-2.409402523388147976e+00,1.377769909350943456e+00,1.547922887297991767e+00,0.000000000000000000e+00,7.877012217114987891e+00,2.260955748678547539e-01,-5.097565199987671214e+00,0.000000000000000000e+00
3.300000000000000266e+00,2.050107189842357291e-01,1.719970896887059730e+00,-1.331450287772111940e+00,0.000000000000000000e+00,-1.991645523966269371e+00,1.387972419899927257e+00,1.278183784212850282e+00,0.000000000000000000e+00,8.804975947375865530e+00,1.818800877837831176e-01,-5.674378125849717236e+00,0.000000000000000000e+00
3.350000000000000089e+00,1.167658710333488725e-01,1.789578228438189145e+00,-1.274839895153966562e+00,0.000000000000000000e+00,-1.531918085205673075e+00,1.395946797210399826e+00,9.823604668997319989e-01,0.000000000000000000e+00,9.552297328558440270e+00,1.369974366512071162e-01,-6.138758146340405730e+00,0.000000000000000000e+00
3.400000000000000355e+00,5.236014743906777791e-02,1.859527948815032694e+00,-1.233550520093736891e+00,0.000000000000000000e+00,-1.039743922980526758e+00,1.401663782863199037e+00,6.663773408231443707e-01,0.000000000000000000e+00,1.010009697584817623e+01,9.161201195185764146e-02,-6.479078262650753928e+00,0.000000000000000000e+00
3.450000000000000178e+00,1.316014460375226902e-02,1.929706629139221530e+00,-1.208431175418820835e+00,0.000000000000000000e+00,-5.254686185973177492e-01,1.405102392184580884e+00,3.366649364235361763e-01,0.000000000000000000e+00,1.043446311641729451e+01,4.589025979783338538e-02,-6.686771701526386558e+00,0.000000000000000000e+00
3.500000000000000000e+00,-2.442490654174751166e-15,1.999999999999979572e+00,-1.199999999999998401e+00,0.000000000000000000e+00,-1.579986141919663785e-13,1.406249999999989786e+00,1.014813233446424325e-13,0.000000000000000000e+00,1.054687499999984723e+01,1.017881525594567390e-14,-6.756591796874900524e+00,0.000000000000000000e+00
3.550000000000000266e+00,1.316014460373662875e-02,2.070293370860737170e+00,-1.208431175418810399e+00,0.000000000000000000e+00,5.254686185970139922e-01,1.405102392184583771e+00,-3.366649364233424979e-01,0.000000000000000000e+00,1.043446311641744728e+01,-4.589025979780201464e-02,-6.686771701526483369e+00,0.000000000000000000e+00
3.600000000000000089e+00,5.236014743903993907e-02,2.140472051184929114e+00,-1.233550520093718905e+00,0.000000000000000000e+00,1.039743922980245872e+00,1.401663782863196150e+00,-6.663773408229641815e-01,0.000000000000000000e+00,1.010009697584834321e+01,-9.161201195182712420e-02,-6.479078262650855180e+00,0.000000000000000000e+00
3.650000000000000355e+00,1.167658710333064065e-01,2.210421771561771997e+00,-1.274839895153939473e+00,0.000000000000000000e+00,1.531918085205409508e+00,1.395946797210404933e+00,-9.823604668995625788e-01,0.000000000000000000e+00,9.552297328558815082e+00,-1.369974366511859942e-01,-6.138758146340637545e+00,0.000000000000000000e+00
3.700000000000000178e+00,2.050107189841852140e-01,2.280029103112904743e+00,-1.331450287772079299e+00,0.000000000000000000e+00,1.991645523966050879e+00,1.387972419899936138e+00,-1.278183784212710172e+00,0.000000000000000000e+00,8.804975947376338041e+00,-1.818800877837639940e-01,-5.674378125850012111e+00,0.000000000000000000e+00
3.750000000000000000e+00,3.152303270241175737e-01,2.349181873465546744e+00,-1.402223173859039607e+00,0.000000000000000000e+00,2.409402523387931705e+00,1.377769909350949451e+00,-1.547922887297851213e+00,0.000000000000000000e+00,7.877012217115541226e+00,-2.260955748678289412e-01,-5.097565199988014939e+00,0.000000000000000000e+00
3.800000000000000266e+00,4.451096421861923669e-01,2.417769577587883134e+00,-1.485719512335888837e+00,0.000000000000000000e+00,2.776721902572246936e+00,1.365376678017086620e+00,-1.786304091029033092e+00,0.000000000000000000e+00,6.791681524786358004e+00,-2.694822390823020664e-01,-4.422655732684260599e+00,0.000000000000000000e+00
3.850000000000000089e+00,5.919409652514942000e-01,2.485683781796854674e+00,-1.580255496409077587e+00,0.000000000000000000e+00,3.086395809574417726e+00,1.350838139062492171e+00,-1.988829459760625085e+00,0.000000000000000000e+00,5.575955593479851480e+00,-3.118818214285610790e-01,-3.666265961322514144e+00,0.000000000000000000e+00
3.900000000000000355e+00,7.526912124248490432e-01,2.552818519268510666e+00,-1.683943991253687322e+00,0.000000000000000000e+00,3.332640833022666449e+00,1.334207519867481873e+00,-2.151878704055890434e+00,0.000000000000000000e+00,4.259699248617275558e+00,-3.531401210567172155e-01,-2.846798885866190787e+00,0.000000000000000000e+00
3.950000000000000178e+00,9.240763939708755981e-01,2.619070675405416715e+00,-1.794740428893179862e+00,0.000000000000000000e+00,3.511220937730992642e+00,1.315545642904695445e+00,-2.272785183812180865e+00,0.000000000000000000e+00,2.874791480402387744e+00,-3.931076417892970243e-01,-1.983904620534864272e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.102641118758653560e+00,2.684340361445233469e+00,-1.910491815012399286e+00,0.000000000000000000e+00,3.619525185609198559e+00,1.294920674625189116e+00,-2.349884148563021302e+00,0.000000000000000000e+00,1.454200945969431391e+00,-4.316402248750397241e-01,-1.097912688316245999e+00,0.000000000000000000e+00
4.049999999999999822e+00,1.284840819993638528e+00,2.748531274729069995e+00,-2.028987432439667948e+00,0.000000000000000000e+00,3.656598743000683438e+00,1.272407843092042024e+00,-2.382532289802661740e+00,0.000000000000000000e+00,3.104716162680598579e-02,-4.685996660058285856e-01,-2.092554185707967696e-01,0.000000000000000000e+00
4.100000000000000533e+00,1.467124361620584461e+00,2.811551044087331697e+00,-2.148009803779550975e+00,0.000000000000000000e+00,3.623127240770730229e+00,1.248089125197487270e+00,-2.371098639872281311e+00,0.000000000000000000e+00,-1.362321456927078289e+00,-5.038543146297361774e-01,6.620984469682524853e-01,0.000000000000000000e+00
