# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
1.200000000000000178e+00,-1.258266181747291768e-04,1.942843334359010271e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-9.563434159802562239e-04,7.382966836004707656e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.387294638774792567e-03,2.124928794094835816e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+00,-1.824373603831475066e-04,2.339399063347420010e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-1.325247499977299679e-03,8.496325002653128122e-02,0.000000000000000000e+00,0.000000000000000000e+00,-8.448052532788866142e-03,2.329669831949660597e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,-2.602763072376834685e-04,2.794210403596236042e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-1.809797328609955361e-03,9.713745758215278081e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.102806524356545956e-02,2.541063650832154908e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e+00,-3.658132197656982498e-04,3.312560701307670080e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-2.438281069882876871e-03,1.103837779616232140e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.422204147281478162e-02,2.758390493244579633e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,-5.070548955472542474e-04,3.899881513551996248e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-3.243977086559491230e-03,1.247299626533025091e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.813489566817071130e-02,2.980875471061903426e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000178e+00,-6.938074579678765730e-04,4.561733228845086391e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-4.265665237385571351e-03,1.401997439324756400e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.288176221548479661e-02,3.207685095387758367e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,-9.379641605959943007e-04,5.303784219801181699e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-5.548134792086488118e-03,1.568125302964978318e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.858784298077087296e-02,3.437922412694592866e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.550000000000000044e+00,-1.253818322034527810e-03,6.131788406100698030e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-7.142680206321186907e-03,1.745830739286416688e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.538807137088785526e-02,3.670620668966465550e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,-1.658400547911220713e-03,7.051561069264125625e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-9.107575163587568537e-03,1.935211026849121274e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.342657615992585873e-02,3.904735448220397753e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000133e+00,-2.171838896074529401e-03,8.068952722648367604e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-1.150851445327243441e-02,2.136309089059238719e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.285592830558318717e-02,4.139135263335427806e-01,0.000000000000000000e+00,0.000000000000000000e+00
